,PolishedText
13,"The North Carolina General Assembly is set to wrap up its legislative session soon, but key issues like the budget and Medicaid expansion remain unresolved. Lawmakers will reconvene on Monday after a short break, with Senate leader Phil Berger aiming to finish regular business by October 31. House Speaker Tim Moore has not confirmed a specific date, but it is evident that the session's end is near. The fate of the budget and Medicaid expansion will likely continue to be contentious topics as the session comes to a close."
14,"The Boston Celtics faced a challenging start to their season as they suffered a 107-93 defeat against the Philadelphia 76ers. The Celtics quickly realized the physicality and athleticism of their opponents, setting the tone for future matchups. With their foul count nearly equaling their point total, the Celtics understood the significant differences they would encounter against the larger and more athletic Sixers throughout the season."
15,"Ten-year-old Baleigh Jones from Harrah, Oklahoma, was disappointed to find her bike missing when she went outside to kick off her fall break. She had planned to ride bikes with her little brother at a friend's house. Baleigh's mom, Jennifer, decided to investigate the situation and discovered that their home security camera had captured a man stealing the bike. The family shared the footage on social media, hoping to identify the thief. They are now working with the police to recover the stolen bike and bring the culprit to justice."
16,"President Donald Trump and Democratic presidential candidate Beto O'Rourke are set to hold political rallies in Texas on Thursday, Oct. 17. Trump's ""Keep America Great"" function will take place in Dallas, while O'Rourke's ""Rally Against Fear"" event will be held in Grand Prairie. Both rallies are scheduled to start at 7 p.m., with doors opening earlier. This marks the second time in a year that the two politicians will hold rallies in the same state at the same time."
17,"The winning bidder for the new single terminal at Kansas City International Airport, Edgemoor Infrastructure & Real Estate, failed to disclose that one of its contractors, the Weitz Company, had to pay significant fines. The undisclosed information raises concerns about transparency and the selection process for the $1.5 billion project. Firms that submitted bids were required to provide detailed information, but Edgemoor did not disclose the penalties associated with its contractor. This revelation has sparked questions about the integrity of the bidding process and the potential impact on the construction of the new terminal."
18,"Two Triad counties, Forsyth and Guilford, have been identified as having some of the highest reported coyote sightings in North Carolina. According to data collected by a Wildlife Interaction Hotline, these counties ranked in the top 10 for reported coyote sightings in 2018. Wake County topped the list with 76 reported sightings, followed closely by Mecklenburg County with 71 sightings. Forsyth County came in third with 47 reported sightings. This information provides valuable insight into the prevalence of coyotes in these areas and highlights the need for continued monitoring and management efforts."
19,"Michigan State University's senior point guard, Cassius Winston, is gearing up for an eventful basketball season. With games scheduled in prestigious venues like Madison Square Garden and Hawaii, as well as a highly anticipated match against Duke at home, Winston's focus remains on the ultimate goal: reaching the Final Four once more in April. Despite the excitement surrounding these upcoming games, none of them hold the same significance for Winston as a particular match that lies ahead."
20,"The Pittsburgh Steelers have made the decision to release wide receiver Donte Moncrief, who joined the team as a free agent earlier this year. Moncrief's performance this season has been lackluster, with only four receptions for 18 yards and no touchdowns in just five games played. In other news, the team has activated running back Tony Brooks-James from the practice squad."
21,"All northbound lanes of I-45 North were closed for several hours at Rankin Road in the Greenspoint area following a significant crash and fuel spill. The accident, involving three vehicles including a big rig, occurred around 9:20 a.m. on Tuesday. Houston TranStar reported that as of 1 p.m., only two lanes of traffic remained open, with the HOV lane also closed. Hazmat crews were present at the scene to address the fuel spill."
22,"Our recent recipe contest, ""Your All-Time Best Creamy Breakfast,"" not only produced a winning dish but also uncovered a magical trick to enhance your mornings. The secret lies in sdebrango's Creamy Baked Eggs, the contest's champion recipe. This simple yet remarkable dish has been tested extensively (for scientific purposes, naturally) and has proven to make any morning approximately 100 times better. While magicians usually keep their tricks hidden, we couldn't resist sharing this one. Give it a try and experience the wonders it brings to your breakfast routine."
23,"Rep. Katie Hill (D-Santa Clarita) is being investigated by the House Committee on Ethics following allegations of an affair with a congressional aide. The committee, led by Rep. Ted Deutch (D-Fla.) and Rep. Kenny Marchant (R-Tex.), acknowledged that Hill ""may have engaged in a sexual relationship with an individual on her congressional staff."" The investigation comes after the allegations were made public last week."
24,"Russian President Vladimir Putin has pledged to collaborate with Saudi Arabia in countering any efforts to disrupt the stability of the oil market. In an interview aired on Sunday, Putin expressed his commitment to addressing the recent attacks on Saudi Arabian oil facilities and the seizure of tankers in the Gulf. These incidents have caused significant price fluctuations in the global oil market. Putin's remarks come ahead of his visit to Riyadh, as tensions in the region remain heightened."
25,"Police in Newport have arrested a 42-year-old man, James D. Antone, for allegedly dealing cocaine in the area. During a search of Antone's home on Bradford Ave, authorities seized approximately one-third of a pound of cocaine. Antone has been charged with possessing cocaine with intent to deliver and is currently being held without bail at the Adult Correctional Institutions in Cranston. The arrest came after detectives received information about Antone's alleged drug activities."
26,"A white police officer in Tennessee has resigned after fatally shooting a black man during a traffic stop. Officer Josh Lippert submitted his resignation on Friday and will leave the Nashville Police Department on October 25. The reason for his resignation was not provided in the letter. The shooting occurred on February 18, 2017, during a confrontation with Jocques Clemmons."
27,"An El Dorado County sheriff's deputy was killed and another deputy injured in a shooting incident in Somerset. Deputy Brian Ishmael, a four-year veteran, and a deputy from another office were responding to a call for service when they were fired upon. The incident occurred on Sand Ridge Road. The identity of the shooter(s) has not been disclosed. Investigations are underway to determine the motive behind the attack."
28,"As the College Football Playoff selection committee prepares to rank teams, several second-tier playoff hopefuls fought to stay in the race over the weekend. While top contenders took a break, teams like No. 7 Oregon, No. 8 Georgia, and No. 9 Utah eagerly await the unveiling of the first CFP rankings on Tuesday. However, No. 6 Florida's hopes were dashed, as they are no longer in contention."
29,"Florida Senate allows Gov. Ron DeSantis' attorney to argue in favor of upholding the suspension of Broward Sheriff Scott Israel, despite objections from Israel's camp. Israel's attorney claimed a conflict of interest, requesting the exclusion of DeSantis' attorney from the proceedings set to commence on Monday. However, the Senate rejected the request, ensuring DeSantis' attorney can participate in the case."
30,"Republican candidate Manny Sethi has released his first television advertisement for Tennessee's 2020 Senate election, challenging critics to label him a racist for his stance on immigration. The ad, which will be broadcast statewide in Tennessee and in Washington D.C., showcases Sethi's mother, Chander Sethi, discussing her own immigration journey from India to the United States."
31,"Kansas City Chiefs' star quarterback, Patrick Mahomes, is expected to miss another week of play, according to NFL Network's Ian Rapoport. Mahomes is unlikely to participate in the team's upcoming game against the Minnesota Vikings on Sunday afternoon. The Chiefs' recent activation of quarterback Chad Henne suggests that Mahomes' return is not imminent, as teams typically carry only two quarterbacks. Mahomes is still recovering and working towards his return to the field."
32,"Dallas Cowboys running back Ezekiel Elliott has experienced a significant decline in explosive runs since his rookie season in 2016. While he had five carries of 30 yards or more as a rookie, he has only managed four such runs in the 31 regular-season games since, with none occurring this year. When questioned about this decline, Elliott expressed uncertainty and suggested that it may simply be a matter of luck."
33,"A tornado struck north Dallas on October 20, causing extensive damage in the area. Reports indicate that the tornado destroyed cars, houses, and businesses along Interstate-635. A resident captured footage of the tornado touching down and warned others to take cover. The National Weather Service issued a statement in the early hours of October 21, stating that a line of storms was moving rapidly eastward throughout northern and central Texas."
